maximum_low_carbon_build_rate,electrification_start_year,electricity_demand_in_2050,average_life_of_low_carbon_generation,renewable_electricity_in_2020,ccs_by_2020,nuclear_change_2012_2020,maximum_low_carbon_build_rate_contraction,maximum_low_carbon_build_rate_expansion,minimum_low_carbon_build_rate,maxmean2050,minmean2050,annual_change_in_non_electricity_traded_emissions,electricity_emissions_during_cb4,emissions_factor_2030,electricity_emissions_absolute_2050
99.0,2039.0,317.0,25.0,0.33502620671909084,4.9764220123301826,-21.0,0.5542187132752784,0.19937771961873826,6.554926437463245,2.464167709389914,0.16853416547419975,-0.033828311550380845,468.5348471947975,0.6078067097487838,0.0
54.0,2024.0,486.0,30.0,0.10382293653895491,1.1156713713177109,-28.0,0.6354739879275145,0.6260323474747059,3.4563808995150787,1.716117623511948,0.21765525820646248,-0.013359541420179484,766.2664994300156,67.1522320025004,0.0
20.0,2034.0,454.0,60.0,0.2787911460511592,0.7877600142182362,-30.0,0.26213423811159575,0.5807181409920961,0.8925642065954887,1.7226866044845044,0.3939720145760284,0.00361831850243495,725.7752149777743,76.84944979098022,14.91420548195537
47.0,2035.0,439.0,28.0,0.022456737509644564,3.789175243938824,-57.0,0.5181832464771366,0.22014023788620043,0.21642892936796346,2.506759787790112,0.3136822709490257,-0.007251057484578521,988.1028012081626,346.56951155461627,59.025718524849886
63.0,2031.0,460.0,37.0,0.0909310085711066,4.523385608017007,-53.0,0.2823193011627405,0.5141020947881831,5.032089999298469,2.3361855715974666,0.3833644452214392,-0.024687939940816615,717.4473409747048,24.651407484595303,0.0
93.0,2038.0,312.0,64.0,0.16969513724192617,5.774830908589414,-40.0,0.7285383422301763,0.8243266506035797,8.21878207342418,2.5363861855253678,0.2956775223556768,-0.0045625279833422655,596.444393159915,0.0,0.0
26.0,2039.0,638.0,43.0,0.22505046525980335,1.2062331477497654,-13.0,0.539916180720405,0.9175619021931999,6.492250869749736,2.238984089204563,0.3728798576423161,-0.0177120809730783,574.5571235369335,48.91115579728771,50.51548666289219
36.0,2025.0,406.0,26.0,0.11477304332580963,3.3901100507869275,-52.0,0.5948810699931216,0.3245213254699458,5.360696320997047,1.7824125976152199,0.3630493969874834,-0.0293759282677786,741.7251730507478,134.89181425543197,3.4345631999961492
70.0,2040.0,646.0,46.0,0.1043410636135969,0.25265173185127554,-12.0,0.16158351463394943,0.7845696285328452,4.673608688705575,2.344662105854034,0.2565286083232251,0.006349855992168467,757.0396191371491,0.0,0.9624776484089876
75.0,2022.0,683.0,25.0,0.32716863803423885,0.7606116668309821,-57.0,0.39565378738211365,0.7656328585269426,9.007127712918674,2.650725527228624,0.39787025868219406,-0.032748501239650396,481.52401873297737,13.64146409952333,11.746614095815193
